name,longitude,latitude,kid,student,young,grown,thirty,forty,fifty,senior
GX0,121.13589581664455,31.25870096088958,373,0,0,0,0,0,0,0
GX1,121.42413312790268,30.951120672943937,142,0,0,0,0,0,0,0
GX2,121.10932557028589,31.077077910818364,342,0,0,0,0,0,0,0
GX3,121.01771583371549,30.995781032800938,238,0,0,0,0,0,0,0
GX4,121.66834870342866,31.241385307752306,472,0,0,0,0,0,0,0
GX5,121.11661068402157,30.890176546208004,578,0,0,0,0,0,0,0
GX6,121.6971368392278,31.06984512823972,387,0,0,0,0,0,0,0
GX7,121.81400412425042,30.956731359483943,352,0,0,0,0,0,0,0
GX8,121.55510488731656,30.901405332116465,391,0,0,0,0,0,0,0
GX9,121.56239765853225,30.890427649292434,128,0,0,0,0,0,0,0
GX10,121.16143280145744,31.208984435659282,179,0,0,0,0,0,0,0
GX11,121.73092802968391,30.947820217104002,107,0,0,0,0,0,0,0
GX12,121.15654687875698,30.941392435572,303,0,0,0,0,0,0,0
GX13,121.29719536267889,31.13866454595201,659,0,0,0,0,0,0,0
GX14,121.47194956619887,30.904772832330266,310,0,0,0,0,0,0,0
GX15,121.79483291740432,31.267438195590266,606,0,0,0,0,0,0,0
GX16,121.37304786482795,31.0902528724728,645,0,0,0,0,0,0,0
GX17,121.66923522580066,31.114420367927135,532,0,0,0,0,0,0,0
GX18,121.67349049150604,30.964827426030123,102,0,0,0,0,0,0,0
GX19,121.7958609461499,30.82440773832007,184,0,0,0,0,0,0,0
GX20,121.3315081224047,30.938136612714665,683,0,0,0,0,0,0,0
GX21,121.245908202965,31.18998258001913,277,0,0,0,0,0,0,0
GX22,121.92820159111311,30.967967212365227,579,0,0,0,0,0,0,0
GX23,121.14668977507424,31.190841704978684,564,0,0,0,0,0,0,0
GX24,121.66609672341905,31.064688173774186,9,0,0,0,0,0,0,0
GX25,121.17999841854288,30.932313255503665,7,0,0,0,0,0,0,0
GX26,121.00649215195224,30.940535095383815,524,0,0,0,0,0,0,0
GX27,121.43873279860404,31.0270383085345,388,0,0,0,0,0,0,0
GX28,121.05151776140212,31.138237650175707,111,0,0,0,0,0,0,0
GX29,121.86499776451728,31.082021521532738,105,0,0,0,0,0,0,0
GX30,121.35801161971919,30.9779261203144,189,0,0,0,0,0,0,0
GX31,121.71324451238914,31.097940762390962,671,0,0,0,0,0,0,0
GX32,121.30429160840292,30.91798442381894,326,0,0,0,0,0,0,0
GX33,121.60833107889859,30.90376955882223,338,0,0,0,0,0,0,0
GX34,121.09826504980103,30.919399808309013,112,0,0,0,0,0,0,0
GX35,121.03601615961824,30.843365564316496,166,0,0,0,0,0,0,0
GX36,121.36858842997036,30.892495764882067,461,0,0,0,0,0,0,0
GX37,121.04450025779063,30.993607534659745,661,0,0,0,0,0,0,0
GX38,121.29420218309079,30.946461705510764,378,0,0,0,0,0,0,0
GX39,121.62942928429251,31.128754112874557,656,0,0,0,0,0,0,0
GX40,121.84779531337291,31.135986948002525,473,0,0,0,0,0,0,0
GX41,121.59709956690514,31.19172033402967,525,0,0,0,0,0,0,0
GX42,121.8238282474049,31.03418125559288,678,0,0,0,0,0,0,0
GX43,121.57443130808997,30.88962834448159,675,0,0,0,0,0,0,0
GX44,121.43155466381452,30.858869141121755,457,0,0,0,0,0,0,0
GX45,121.47928921014393,30.98393302243023,330,0,0,0,0,0,0,0
GX46,121.82014915193649,31.040769987889476,316,0,0,0,0,0,0,0
GX47,121.94746577352346,30.89123154240217,361,0,0,0,0,0,0,0
GX48,121.60016902001702,31.070945779880372,222,0,0,0,0,0,0,0
GX49,121.49670983114815,31.18205960826556,256,0,0,0,0,0,0,0
GX50,121.2889053925365,30.87357614743589,532,0,0,0,0,0,0,0
GX51,121.20378192824766,31.25501161739264,209,0,0,0,0,0,0,0
GX52,121.36431270691872,31.26440768698678,643,0,0,0,0,0,0,0
GX53,121.2850485702176,31.251793383380157,65,0,0,0,0,0,0,0
GX54,121.91239717477592,31.119359137097213,247,0,0,0,0,0,0,0
GX55,121.65848440845454,31.255654547914688,552,0,0,0,0,0,0,0
GX56,121.51764201455461,31.05942176650078,546,0,0,0,0,0,0,0
GX57,121.57631083192408,30.907325171377973,61,0,0,0,0,0,0,0
GX58,121.31831216526614,31.273288601417875,356,0,0,0,0,0,0,0
GX59,121.05057547277069,31.166301763622645,209,0,0,0,0,0,0,0
GX60,121.94344384025875,30.83762754101132,276,0,0,0,0,0,0,0
GX61,121.64356977988757,31.014239151058305,46,0,0,0,0,0,0,0
GX62,121.20276689960536,31.244570728134548,608,0,0,0,0,0,0,0
GX63,121.40266389306841,31.12538594159584,190,0,0,0,0,0,0,0
GX64,121.92363692473654,31.018250522477164,468,0,0,0,0,0,0,0
GX65,121.22333811377617,30.93647433798818,269,0,0,0,0,0,0,0
GX66,121.65097053702185,31.156935835810778,426,0,0,0,0,0,0,0
GX67,121.71043418691546,31.116195303267023,299,0,0,0,0,0,0,0
GX68,121.14944028236789,30.80781060292745,308,0,0,0,0,0,0,0
GX69,121.95790042957425,31.229252749574407,289,0,0,0,0,0,0,0
GX70,121.79667531259972,31.099428432321393,492,0,0,0,0,0,0,0
GX71,121.41088861156354,31.18982764723567,114,0,0,0,0,0,0,0
GX72,121.22774636278714,30.97754863803855,499,0,0,0,0,0,0,0
GX73,121.73686126012251,31.017864044397715,363,0,0,0,0,0,0,0
GX74,121.60323072607594,30.91702343051904,334,0,0,0,0,0,0,0
GX75,121.08724414525358,31.023620643343445,37,0,0,0,0,0,0,0
GX76,121.91572367897545,30.99271344627997,232,0,0,0,0,0,0,0
GX77,121.24777579522377,31.012059241789224,593,0,0,0,0,0,0,0
GX78,121.0344065824641,30.86154837326998,407,0,0,0,0,0,0,0
GX79,121.47087691420018,31.290446179370576,177,0,0,0,0,0,0,0
GX80,121.09837103394243,31.13474642149994,542,0,0,0,0,0,0,0
GX81,121.57022639191497,30.887544661595182,526,0,0,0,0,0,0,0
GX82,121.21223569936207,30.95122450174745,639,0,0,0,0,0,0,0
GX83,121.49699521595767,31.11943204260036,143,0,0,0,0,0,0,0
GX84,121.64973358345406,31.121170099164143,513,0,0,0,0,0,0,0
GX85,121.76581022291708,31.21968055291806,323,0,0,0,0,0,0,0
GX86,121.33199933420096,31.211845751941713,461,0,0,0,0,0,0,0
GX87,121.96075136096601,31.155725036979934,163,0,0,0,0,0,0,0
GX88,121.78827051633709,31.138631801183596,553,0,0,0,0,0,0,0
GX89,121.1284278842554,31.279976900032135,329,0,0,0,0,0,0,0
GX90,121.12104855935176,31.094197279920078,486,0,0,0,0,0,0,0
GX91,121.20433029678998,30.875835439952777,284,0,0,0,0,0,0,0
GX92,121.35022934017552,31.162072972596807,112,0,0,0,0,0,0,0
GX93,121.06494436885203,30.80334246046668,28,0,0,0,0,0,0,0
GX94,121.48854082286239,31.280771944395383,670,0,0,0,0,0,0,0
GX95,121.24302875830926,30.885903603009872,241,0,0,0,0,0,0,0
GX96,121.5622177942465,30.937389328231436,578,0,0,0,0,0,0,0
GX97,121.47570967897431,30.803281220953025,178,0,0,0,0,0,0,0
GX98,121.71726019650843,30.810175291663835,54,0,0,0,0,0,0,0
GX99,121.80971010280739,30.92290510917316,502,0,0,0,0,0,0,0
GX100,121.39508980976395,31.056216307300712,498,0,0,0,0,0,0,0
GX101,121.99755835751117,31.153343710336653,155,0,0,0,0,0,0,0
GX102,121.09652329613084,30.959816449060295,477,0,0,0,0,0,0,0
GX103,121.9619735663312,31.193361658569692,440,0,0,0,0,0,0,0
GX104,121.42597360887571,31.149619214538685,426,0,0,0,0,0,0,0
GX105,121.55885552356044,30.96612905171747,152,0,0,0,0,0,0,0
GX106,121.2867969409278,31.136564691259622,118,0,0,0,0,0,0,0
GX107,121.15522229114524,31.02055096114466,220,0,0,0,0,0,0,0
GX108,121.32379489386165,30.872486593501108,393,0,0,0,0,0,0,0
GX109,121.37679794771695,31.285996687854766,627,0,0,0,0,0,0,0
GX110,121.94201323398882,31.131008106934,316,0,0,0,0,0,0,0
GX111,121.0373342641927,31.02950913659909,179,0,0,0,0,0,0,0
GX112,121.60582682045982,31.042320201962667,121,0,0,0,0,0,0,0
GX113,121.80162134308318,31.268385238526253,91,0,0,0,0,0,0,0
GX114,121.1946304521224,30.993783065309184,261,0,0,0,0,0,0,0
GX115,121.6669444338612,31.27929554943674,161,0,0,0,0,0,0,0
GX116,121.1888127379796,31.034884219030495,687,0,0,0,0,0,0,0
GX117,121.28049467252946,30.84724899983822,350,0,0,0,0,0,0,0
GX118,121.53136264093801,30.992150087022168,565,0,0,0,0,0,0,0
GX119,121.39735491585151,30.854040264829838,449,0,0,0,0,0,0,0
GX120,121.47789559999912,30.824821118805755,358,0,0,0,0,0,0,0
GX121,121.17580406804574,30.892611089868684,87,0,0,0,0,0,0,0
GX122,121.3541423644922,31.101573991525,244,0,0,0,0,0,0,0
GX123,121.30189485516931,30.948220313663153,80,0,0,0,0,0,0,0
GX124,121.30011766690558,30.891860915824537,642,0,0,0,0,0,0,0
GX125,121.22823197563328,31.03259533312041,103,0,0,0,0,0,0,0
GX126,121.13113549043373,31.280522706517626,384,0,0,0,0,0,0,0
GX127,121.74411838232403,30.92741174891718,252,0,0,0,0,0,0,0
GX128,121.89641105417465,31.092645243826652,268,0,0,0,0,0,0,0
GX129,121.10438922166853,31.15853741802568,31,0,0,0,0,0,0,0
GX130,121.49683141172606,30.867031872831788,121,0,0,0,0,0,0,0
GX131,121.51747152367084,31.213440321273257,68,0,0,0,0,0,0,0
GX132,121.43705514264687,31.02445710736819,248,0,0,0,0,0,0,0
GX133,121.71196549643294,31.147889001528227,532,0,0,0,0,0,0,0
GX134,121.95802162365473,30.822788745674295,508,0,0,0,0,0,0,0
GX135,121.89411465355566,31.132404022629945,47,0,0,0,0,0,0,0
GX136,121.12021891550341,30.88029178616135,442,0,0,0,0,0,0,0
GX137,121.80227452248543,31.027616883517457,490,0,0,0,0,0,0,0
GX138,121.00409600378464,31.23457131651098,480,0,0,0,0,0,0,0
GX139,121.93140814257184,31.075467060863023,94,0,0,0,0,0,0,0
GX140,121.85176834327211,30.814723768153165,4,0,0,0,0,0,0,0
GX141,121.81070042964603,31.160662438702396,423,0,0,0,0,0,0,0
GX142,121.405432463044,30.963835546665134,259,0,0,0,0,0,0,0
GX143,121.48704745552186,30.95562523460112,635,0,0,0,0,0,0,0
GX144,121.7866835958055,30.90691921608079,472,0,0,0,0,0,0,0
GX145,121.9100169175109,31.069765061006017,425,0,0,0,0,0,0,0
GX146,121.31280330008391,31.113075471543393,133,0,0,0,0,0,0,0
GX147,121.59017666574698,30.998818447073965,303,0,0,0,0,0,0,0
GX148,121.63841346636512,30.920913087695638,58,0,0,0,0,0,0,0
GX149,121.86967301475612,31.21656623129092,635,0,0,0,0,0,0,0
GX150,121.44347340315743,31.05228820992773,195,0,0,0,0,0,0,0
GX151,121.10583016443599,30.884817248122356,121,0,0,0,0,0,0,0
GX152,121.63226771932915,31.223914319107653,37,0,0,0,0,0,0,0
GX153,121.52607096658518,30.92939967682769,677,0,0,0,0,0,0,0
GX154,121.15638286428836,31.120457716816038,670,0,0,0,0,0,0,0
GX155,121.013816300683,31.152235549188116,559,0,0,0,0,0,0,0
GX156,121.29236928839975,30.93092224097622,105,0,0,0,0,0,0,0
GX157,121.4745243120821,31.22053579717024,336,0,0,0,0,0,0,0
GX158,121.57906652982783,31.285428315122513,301,0,0,0,0,0,0,0
GX159,121.10074863979499,31.102822939779227,89,0,0,0,0,0,0,0
GX160,121.9089381877378,31.098331816452728,114,0,0,0,0,0,0,0
GX161,121.99300146254122,30.95288720942316,678,0,0,0,0,0,0,0
GX162,121.15313054945292,31.010871005314826,188,0,0,0,0,0,0,0
GX163,121.43516524851336,31.182865393477083,29,0,0,0,0,0,0,0
GX164,121.53367521040867,31.09047479999496,229,0,0,0,0,0,0,0
GX165,121.20091816436424,31.207295336751905,349,0,0,0,0,0,0,0
GX166,121.01289359723634,30.841252536086547,603,0,0,0,0,0,0,0
GX167,121.66075298578725,30.984074300653404,211,0,0,0,0,0,0,0
GX168,121.6956809752607,31.09118861428304,390,0,0,0,0,0,0,0
GX169,121.04314103643748,31.264506395972546,462,0,0,0,0,0,0,0
GX170,121.50347394479154,31.274799357552002,619,0,0,0,0,0,0,0
GX171,121.90146235393586,31.09276921357758,524,0,0,0,0,0,0,0
